ized +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payroll/summary/:period, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payroll/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payroll/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payroll/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] LeaveController {/api/leaves}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves/pending, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves/summary, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves/balance/:employeeId, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves/:id, PUT} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/leaves/:id/approve-reject, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] WorkingShiftsController {/api/working-shifts}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/working-shifts, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/working-shifts, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/working-shifts/employee/:employeeId, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/working-shifts/property/:propertyId, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/working-shifts/date-range, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/working-shifts/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/working-shifts/:id, PUT} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/working-shifts/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] DeductionsController {/api/deductions}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions/employee/:employeeId, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions/type/:type, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions/date-range, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions/employee/:employeeId/total, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/deductions/:id, DELETE} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] OvertimesController {/api/overtimes}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/overtimes, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/overtimes, GET} route +0ms
